#,Company,Symbol,Weight,Price,Chg,% Chg
117,Marsh McLennan,MMC,0.16,191.06,-12.79,-6.28
118,Trane Technologies,TT,0.16,421.16,-1.29,-0.30
119,Parker Hannifin,PH,0.15,730.96,-6.90,-0.94
120,American Tower,AMT,0.15,193.75,3.72,1.96
121,General Dynamics,GD,0.15,332.13,0.09,0.03
122,Intercontinental Exchange,ICE,0.15,155.29,-2.18,-1.38
123,Cadence Design Systems,CDNS,0.15,325.94,1.84,0.57
124,Bristol Myers Squibb,BMY,0.15,43.51,-0.10,-0.24
125,O'Reilly Auto Parts,ORLY,0.14,102.23,0.11,0.11
126,Northrop Grumman,NOC,0.14,604.60,-4.33,-0.71
127,Coinbase Global,COIN,0.14,335.93,-0.37,-0.11
128,Waste Management,WM,0.14,213.52,-0.17,-0.08
129,Moody's Corporation,MCO,0.14,475.04,-3.47,-0.73
130,Royal Caribbean Group,RCL,0.14,305.69,-5.47,-1.76
131,Sherwin-Williams,SHW,0.14,331.18,-1.55,-0.47
132,Synopsys,SNPS,0.14,443.92,8.02,1.84
133,3M,MMM,0.13,151.57,-1.90,-1.24
134,Mondelez International,MDLZ,0.13,62.35,0.69,1.11
135,Equinix,EQIX,0.13,820.12,-2.13,-0.26
136,Elevance Health,ELV,0.13,350.14,0.65,0.18
137,Cigna,CI,0.13,292.33,-2.24,-0.76
138,Howmet Aerospace,HWM,0.13,192.66,0.38,0.20
139,BNY Mellon,BK,0.13,109.30,0.37,0.34
140,Ecolab,ECL,0.13,271.64,-2.06,-0.75
141,Williams Companies,WMB,0.13,63.08,-0.70,-1.09
142,Airbnb,ABNB,0.13,124.77,0.51,0.41
143,Corning Inc.,GLW,0.12,87.07,0.45,0.52
144,Cintas,CTAS,0.12,185.53,-1.92,-1.03
145,Aon,AON,0.12,341.51,-14.29,-4.02
146,U.S. Bancorp,USB,0.12,46.96,0.51,1.10
147,Emerson Electric,EMR,0.12,129.60,-0.67,-0.51
148,Motorola Solutions,MSI,0.12,437.79,-1.15,-0.26
149,Arthur J. Gallagher & Co.,AJG,0.12,282.29,-13.88,-4.68
150,Illinois Tool Works,ITW,0.12,246.81,-0.88,-0.35
151,United Parcel Service,UPS,0.12,84.70,0.61,0.72
152,Apollo Global Management,APO,0.12,125.16,-2.54,-1.99
153,Vistra Corp.,VST,0.12,210.98,0.13,0.06
154,Johnson Controls,JCI,0.12,109.21,-1.61,-1.45
155,Marriott International,MAR,0.12,263.08,-3.11,-1.17
156,PNC Financial Services,PNC,0.12,180.47,-1.88,-1.03
157,TransDigm Group,TDG,0.12,"1,256.20",18.49,1.49
158,Monster Beverage,MNST,0.11,70.03,1.38,2.01
159,Republic Services,RSG,0.11,218.64,-2.40,-1.08
160,CSX Corporation,CSX,0.11,36.38,0.14,0.38
161,AutoZone,AZO,0.11,"4,031.84",4.80,0.12
162,TE Connectivity,TEL,0.11,223.33,0.64,0.29
163,Fiserv,FI,0.11,120.92,-0.19,-0.16
164,Quanta Services,PWR,0.11,441.09,4.15,0.95
165,United Rentals,URI,0.11,"1,013.22",-6.78,-0.66
166,Autodesk,ADSK,0.11,304.11,-0.97,-0.32
167,Norfolk Southern Railway,NSC,0.11,288.43,-1.27,-0.44
168,American Electric Power,AEP,0.11,119.63,1.10,0.93
169,PayPal,PYPL,0.11,66.90,-1.08,-1.58
170,Zoetis,ZTS,0.11,143.39,1.27,0.89
171,Colgate-Palmolive,CL,0.10,78.28,0.65,0.83
172,Fortinet,FTNT,0.10,82.52,-1.06,-1.27
173,Cencora,COR,0.10,320.64,1.02,0.32
174,"Workday, Inc.",WDAY,0.10,232.48,-2.28,-0.97
